や[編集]
やあ[編集]
柚月ひかる（ゆづき ひかる）（2004年）
悠月舞（ゆづき まい）（2011年）
夕月みずほ（ゆづき みずほ）（2008年）（引退）
柚月らら（ゆづき らら）（2004年）（引退）
由月理帆（ゆづき りほ）（2001年）（引退）
優月良花（ゆづき りょうか）（2012年）
ゆま[編集]
弓川彩乃（ゆみかわ あやの）（2007年）（引退）
弓川奈津子（ゆみかわ なつこ）（1995年）（引退）
弓束ちはや（ゆみつか ちはや）（2013年）
由愛可奈（ゆめ かな）（2011年）
夢丘ありす（ゆめおか ありす）（1992年）（引退）
夢夏まなつ（ゆめか まなつ）（2012年）
夢咲こよい（ゆめさき こよい）（2005年）
夢咲ほのか（ゆめさき ほのか）（2009年）
夢咲りぼん（ゆめさき りぼん）（2012年）
夢咲ルシア（ゆめさき るしあ）（2008年）
夢園小夜子（ゆめぞの さよこ）（1990年）（引退）
夢乃あいか（ゆめの あいか）（2013年）
夢野しおり（ゆめの しおり）（2000年）（引退）
夢野ひなた（ゆめの ひなた）（2013年）＝君野由奈
ゆめのひめ（ゆめの ひめ）＝伊波弥生、吉倉いずみ
夢野まみ（ゆめの まみ）（1989年）（引退）
夢野まりあ（ゆめの まりあ）（1998年）
夢野みーな（ゆめの みーな）（2007年）（引退）
ゆめのみみ（ゆめの みみ）（2008年）（引退）
夢実あくび（ゆめみ あくび）（2011年）
夢美ここ（ゆめみ ここ）（2006年）＝七瀬りか
夢見あい（ゆめみ あい）（2006年）（引退）
夢見ほのか（ゆめみ ほのか）（2007年）
ゆら[編集]
ゆりあ（ゆりあ）（2008年）
ゆり&まり（ゆり&まり）（2人）（2006年）
佑梨恵（ゆりえ）（2004年）＝葉山リカ
百合川さら（ゆりかわ さら）（2007年）＝茅ヶ崎ありす
百合野もも（ゆりの もも）（2011年）
よ[編集]
よあ[編集]
YOKO（よーこ）（2005年）＝楓
よか[編集]
横倉里奈（よこくら りな）（1998年）（引退）
横須賀ねね（よこすか ねね）（2008年）
横西奈々（よこにし なな）（2006年）
横浜ゆき（よこはま ゆき）（引退）
横山あさ美（よこやま あさみ）（2004年）
横山えりか（よこやま えりか）（1992年）（引退）
横山翔子（よこやま しょうこ）（2007年）＝横内利香
横山奈津子（よこやま なつこ）（引退）
横山美雪（よこやま みゆき）（2008年）
横山みれい（よこやま みれい）（2009年）
よさ[編集]
吉井あや（よしい あや）（2000年）（引退）
吉井愛美（よしい まなみ）（2001年）（引退）＝水沢翔子
吉井美希（よしい みき）（1998年）＝伊沢涼子
吉井みな（よしい みな）（2011年）＝日向小夏
吉井玲奈（よしい れいな）（2007年）
吉岡愛（よしおか あい）（2004年）（引退）
吉岡なつみ（よしおか なつみ）（2004年）
吉岡奈々子（よしおか ななこ）（2007年）＝大塚響子
吉岡美奈（よしおか みな）（引退）
吉岡めぐみ（よしおか めぐみ）（2004年）（引退）
吉岡恵美（よしおか めぐみ）（2004年）＝小野寺沙希、小野寺めぐみ
吉川あいみ（よしかわ あいみ）（2013年）
吉川麻実（よしかわ あさみ）
吉川いと（よしかわ いと）（2012年）
吉川エミリー（よしかわ えみりー）（2000年）（引退）
吉川ななこ（よしかわ ななこ）（2009年）＝Nana、あまねなのは
吉川マリ（よしかわ まり）（1985年）（引退）
吉川みなみ（よしかわ みなみ）（引退）
吉川萌（よしかわ もえ）（2006年）（引退）＝大沢萌
吉川ゆあ（よしかわ ゆあ）（2010年）
吉川梨香（よしかわ りか）（1999年）（引退）
吉川莉奈（よしかわ りな）（2008年）
吉川りりあ（よしかわ りりあ）（1990年）（引退）
吉川蓮（よしかわ れん）（2014年）
