
さ[編集]
さあ[編集]
櫻井美優（さくらい みゆ） （2007年）
桜井瑞穂（さくらい みずほ）（1993年）（引退）
桜井優（さくらい ゆう）（2006年）
櫻井ゆうこ（さくらい ゆうこ）（2007年）
櫻井夕樹（さくらい ゆうき）（2010年）＝八木あずさ
桜井りあ（さくらい りあ）（2008年）＝愛咲MIU
桜井りお（さくらい りお）（2010年）
桜井りか（さくらい りか）（1990年）（引退）
桜井梨花（さくらい りか）（2005年）
桜井理沙（さくらい りさ）（1994年）（引退）
桜井涼子（さくらい りょうこ）（1993年）（引退）＝白鳥美香
桜井流々（さくらい るる）（2003年?）（引退）
桜井麗花（さくらい れいか）（2003年）（引退）
桜川かなこ（さくらい かなこ）（2014年）
桜川恋（さくらがわ こい）（2006年）
桜川満月（さくらがわ みつき）（2006年）
桜木亜美（さくらぎ あみ）（1996年）＝柏木ありさ
桜木郁（さくらぎ いく）（2013年）
桜木心愛（さくらぎ ここあ）（2004年）
桜木ここな（さくらぎ ここな）（2009年）
桜木さくら（さくらぎ さくら）（2008年）＝琴吹さくら
桜木トモ（さくらぎ とも）（2007年）＝やざわかりん
桜木ハル（さくらぎ はる）（2009年）
桜木ふうな（さくらぎ ふうな）（2009年）
桜木美羽（さくらぎ みう）（2007年）（引退）
桜木萌（さくらぎ もえ）（2003年）（引退）
桜木優希音（さくらぎ ゆきね）（2014年）
桜木陽子（さくらぎ ようこ）（1995年）（引退）
桜木莉愛（さくらぎ りあ）（2012年）
桜木りん（さくらぎ りん）（2006年）＝稲森ケイト
桜木凛（さくらぎ りん）（2007年）
桜樹ルイ（さくらぎ るい）（1989年）＝一ノ瀬雅子
桜子（さくらこ）（2006年）（引退）
桜咲れん（さくらざき れん）（1999年）（引退）＝広末奈緒、上條れん
桜沢ありす（さくらざわ ありす）（1987年）（引退） 1969年2月2日 -
桜沢かおる（さくらざわ かおる）（1994年）（引退）
桜沢菜々子（さくらざわ ななこ）（1995年）（引退）
桜田さくら（さくらだ さくら）（2003年）
桜田佳子（さくらだ けいこ）（2000年）（引退）
桜田由加里（さくらだ ゆかり）（2000年）（引退）
桜田レオ（さくらだ れお）
桜庭彩（さくらば あや）（2008年）
桜庭彩（さくらば あや）（2007年）
桜庭ハル（さくらば はる）（2009年）＝飯島夏希
桜庭みさと（さくらば みさと）（
さくらの（さくらの）（2005年）
桜野いちご（さくらの いちご）（1995年）（引退）
ささ[編集]
佐々木愛子（ささき あいこ）（2001年）（引退）
佐々木絵美（ささき えみ）（2013年）
佐々木香里奈（ささき かりな）（2009年）
佐々木四季（ささき しき）（2009年）
佐々木空（ささき そら）（2002年）（引退）
佐々木渚紗（ささき なぎさ）（2006年）（引退）
佐々木はるか（ささき はるか）（2010年）
ささきふう香（ささき ふうか）（2005年）
佐々木美羽（ささき みう）（2005年）（引退）
佐々木基子（ささき もとこ）
佐々木ゆあ（ささき ゆあ）（2009年）＝妃悠愛
佐々木優（ささき ゆう）（1993年）（引退）
佐咲ゆい（ささき ゆい）（2013年）
佐々木リエ（ささき りえ）（2004年）（引退）
佐々木りのあ（ささき りのあ）（2012年）
佐々木涼（ささき りょう）（2007年）＝石山リョウ
佐々木レイ（ささき れい）（2010年）
佐々木玲奈（ささき れな）（2013年）
佐々木恋海（ささき れみ）（2013年）＝向井恋
小波風（さざなみ ふう）（2014年）
漣真珠（さざなみ まじゅ）（2004年?）
漣ゆめ（さざなみ ゆめ）（2009年）
笹原りむ（さざはら りむ）（2013年）
笹山希（ささやま のぞみ）（2014年）
さた[編集]
佐田あゆみ（さだ あゆみ）（2008年）
さちのうた（さちの うた）（2015年）
彩月あかり（さつき あかり）（2007年）＝岩佐めい
五月沙姫（さつき さき）（2009年）
五月純（さつき じゅん）（1991年）（引退）
桜月舞（さつき まい）（2003年）＝涼白舞
咲月めい（さつき めい）（2005年）（引退）
紗月結花（さつき ゆか）（2003年）
沙月由奈（さつき ゆな）（2008年）＝水野紫苑
咲月ゆり（さづき ゆり）（2004年）（引退）
咲月りこ（さつき りこ）（2013年）
皐月りぼん（さづき りぼん）（2010年）
佐藤あい（さとう あい）（2006年）
さとう愛理（さとう あいり）（2014年）
佐藤江珠（さとう えみ）（1990年）（引退）
佐藤江梨花（さとう えりか）（2005年）（引退）
佐藤君代（さとう きみよ）
佐藤さくら（さとうさくら）（2006年）＝ くるみもも
佐藤ショコラ（さとう しょこら）（2006年）（引退）
さとう遥希（さとう はるき）（2011年）
さとうはるな（さとう はるな）（2007年）（引退）
佐藤ひとみ（さとう ひとみ）（2009年）＝葉月みりあ
佐藤博子（さとう ひろこ）（1997年）（引退）
佐藤ひろ美（さとう ひろみ）（2005年） （引退）
佐藤まい（さとう まい）（2001年）（引退）
佐藤真心（さとう まなか）（2005年）（引退）
紗藤まゆ（さとう まゆ）（2013年）
佐藤美貴 (AV女優)（さとう みき）（1998年）（引退）
佐藤美紀（さとう みき）（2008年）＝ 鈴木志帆
佐藤美沙（さとう みさ）（2009年）
佐藤優（さとう ゆう）（2004年）（引退）
佐藤ゆか（さとう ゆか）（1996年）（引退）
佐藤友里（さとう ゆり）（2006年）＝ 橋岡麻衣
沙藤ユリ（さとう ゆり）（2011年）
佐藤リカ（さとう りか）（2006年）
